"Name","sweep_rc_split","total","Runtime","vector_size","dm","epochs","pre_process_rc_question","number_of_most_likely_docs","f1","exact"
"smart-sweep-109","train[:20%]","4086","68","30","1","100","1","2","20.97176543496451","0.14684287812041116"
"misty-sweep-134","train[:20%]","4086","95","70","1","150","1","2","22.543315119515157","0.14684287812041116"
"pious-sweep-135","train[:20%]","4086","97","80","1","150","1","2","22.783493258881407","0.14684287812041116"
"whole-sweep-61","train[:20%]","4086","58","30","0","150","1","2","22.915019595755822","0.12236906510034264"
"resilient-sweep-136","train[:20%]","4086","93","100","1","150","1","2","23.238155672953372","0.12236906510034264"
"flowing-sweep-63","train[:20%]","4086","58","80","0","150","1","2","23.49366809947364","0.12236906510034264"
"sparkling-sweep-130","train[:20%]","4086","123","70","1","150","0","2","18.940961527749117","0.12236906510034264"
"crisp-sweep-36","train[:20%]","4086","62","100","0","100","0","2","19.36466999445103","0.12236906510034264"
"cosmic-sweep-39","train[:20%]","4086","46","80","0","100","1","2","22.851656421850137","0.09789525208027412"
"brisk-sweep-106","train[:20%]","4086","91","70","1","100","0","2","18.47359561808019","0.09789525208027412"
"confused-sweep-58","train[:20%]","4086","82","70","0","150","0","2","18.8069341441738","0.09789525208027412"
"stilted-sweep-13","train[:20%]","4086","33","30","0","50","1","2","19.39185635750024","0.09789525208027412"
"fine-sweep-83","train[:20%]","4086","51","80","1","50","0","2","17.10872748203527","0.09789525208027412"
"solar-sweep-112","train[:20%]","4086","64","100","1","100","1","2","21.450418367093004","0.07342143906020558"
"honest-sweep-108","train[:20%]","4086","88","100","1","100","0","2","18.896071829005237","0.07342143906020558"
"dry-sweep-35","train[:20%]","4086","60","80","0","100","0","2","19.32282054196006","0.07342143906020558"
"radiant-sweep-110","train[:20%]","4086","68","70","1","100","1","2","21.218182566526117","0.07342143906020558"
"trim-sweep-57","train[:20%]","4086","79","30","0","150","0","2","18.70331397903414","0.07342143906020558"
"lively-sweep-131","train[:20%]","4086","137","80","1","150","0","2","19.01336525262087","0.07342143906020558"
"divine-sweep-12","train[:20%]","4086","41","100","0","50","0","2","18.293543542662935","0.07342143906020558"
"playful-sweep-59","train[:20%]","4086","82","80","0","150","0","2","19.23200249820579","0.07342143906020558"
